City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Windspeed
sao filipe,36,CV,1541178265,85,14.9,-24.5,81.77,14
khatanga,64,RU,1541178196,71,71.98,102.47,1.22,12.77
lebu,100,CL,1541178196,98,-37.62,-73.65,55.85,10.76
egvekinot,88,RU,1541178197,83,66.32,-179.17,13.6,2.59
rohri,76,PK,1541178000,49,27.68,68.91,69.8,2.82
kedrovyy,40,RU,1541176200,57,56.17,91.82,21.2,11.18
butaritari,0,KI,1541178258,100,3.07,172.79,84.97,10.65
saskylakh,56,RU,1541178259,82,71.97,114.09,3.47,9.75
carnarvon,8,AU,1541178124,99,-24.87,113.63,68.72,17.92
puerto del rosario,75,ES,1541176200,69,28.5,-13.86,73.4,26.4
severo-kurilsk,48,RU,1541178260,92,50.68,156.12,41.45,20.83
palana,48,RU,1541178261,72,59.08,159.95,10.13,2.59
felipe carrillo puerto,80,MX,1541178261,74,19.58,-88.05,85.51,3.6
jamestown,80,SH,1541178261,100,-15.94,-5.72,67.82,9.75
soyo,0,AO,1541178262,69,-6.13,12.37,80.38,7.63
progreso,92,MX,1541178263,89,20.25,-99.19,60.22,3.6
council bluffs,75,US,1541177640,65,41.26,-95.86,50.0,18.34
nuuk,40,GL,1541177400,62,64.17,-51.74,19.4,14.99
mazamari,36,PE,1541178264,70,-11.33,-74.53,78.8,2.26
amarpatan,0,IN,1541178268,65,24.32,80.97,73.22,5.06
yulara,40,AU,1541174400,37,-25.24,130.99,84.2,9.17
barrow,90,US,1541176500,80,39.51,-90.4,47.12,6.93
cape town,0,ZA,1541174400,52,-33.93,18.42,69.8,13.87
tolaga bay,76,NZ,1541178269,76,-38.37,178.3,45.55,6.17
saldanha,8,ZA,1541174400,45,-33.01,17.94,80.6,12.75
mahebourg,20,MU,1541174400,73,-20.41,57.7,77.0,5.82
tiznit,0,MA,1541178270,78,29.7,-9.73,67.19,2.59
georgetown,76,SH,1541178271,100,-7.93,-14.42,75.16,14.12
hornepayne,56,CA,1541178271,72,49.22,-84.78,32.27,4.16
hadejia,12,NG,1541178271,30,12.45,10.04,79.66,4.83
mamakan,56,RU,1541178272,46,57.82,114.02,9.1,6.96
bambous virieux,20,MU,1541174400,73,-20.34,57.76,77.0,5.82
huilong,0,CN,1541178273,62,31.15,106.5,50.72,5.39
ilulissat,75,GL,1541177400,56,69.22,-51.1,14.0,16.11
mangrol,36,IN,1541178273,51,25.33,76.51,71.02,5.73
nkoteng,32,CM,1541178274,70,4.5,12.12,79.21,7.29
lamu,76,KE,1541178213,88,-2.27,40.9,79.75,9.75
kavieng,48,PG,1541178274,100,-2.57,150.8,80.2,4.94
brae,20,GB,1541175600,86,60.4,-1.35,46.4,6.93
alice springs,0,AU,1541176200,69,-23.7,133.88,73.4,8.05
tommot,68,RU,1541178275,56,58.97,126.27,15.13,9.31
matay,0,EG,1541178276,44,28.42,30.79,66.47,8.41
matagami,90,CA,1541174400,92,49.76,-77.63,30.2,4.7
chicama,75,PE,1541174400,77,-7.84,-79.15,68.0,12.75
tezu,0,IN,1541178277,81,27.93,96.16,56.93,1.59
cardston,75,CA,1541174400,61,49.2,-113.32,48.2,24.16
goroka,64,PG,1541178278,100,-6.07,145.39,57.65,0.47
barabinsk,92,RU,1541178278,90,55.35,78.35,29.84,20.04
puri,20,IN,1541176200,88,19.8,85.85,78.8,4.61
saint-philippe,75,RE,1541176200,78,-21.36,55.77,75.2,5.82
mount gambier,92,AU,1541178279,67,-37.83,140.78,55.49,10.42
reconquista,0,AR,1541178280,56,-29.14,-59.64,87.76,11.54
chokurdakh,68,RU,1541178280,59,70.62,147.9,-1.8,3.04
inzer,88,RU,1541178280,90,54.22,57.56,30.97,6.73
nome,1,US,1541177700,56,30.04,-94.42,66.02,4.7
kaitangata,56,NZ,1541178341,82,-46.28,169.85,54.91,9.53
acapulco,20,MX,1541173800,74,16.86,-99.88,84.2,2.24
arona,20,ES,1541176200,64,28.1,-16.68,75.2,25.28
saint-francois,88,GP,1541176200,66,16.25,-61.27,86.0,14.99
ponta do sol,36,CV,1541178343,98,17.2,-25.09,78.4,18.25
bilibino,68,RU,1541178343,68,68.06,166.44,-2.16,2.59
jaroslaw,0,PL,1541176200,77,50.02,22.68,60.8,8.05
sibolga,56,ID,1541178344,100,1.74,98.78,68.18,2.04
markova,0,RU,1541176200,77,52.21,104.21,6.8,8.95
baturaja,100,ID,1541178345,98,-4.12,104.17,72.73,4.16
marsaxlokk,0,MT,1541175300,72,35.84,14.54,68.0,5.82
balkanabat,0,TM,1541178346,45,39.51,54.36,36.37,5.73
pederneiras,0,BR,1541174400,55,-22.35,-48.78,87.8,2.24
nouadhibou,0,MR,1541174400,50,20.93,-17.03,78.8,16.11
sitka,64,US,1541178347,37,37.17,-99.65,55.27,10.98
kaka,32,TM,1541178347,100,37.35,59.62,29.3,2.59
salawagan,36,PH,1541178348,88,7.71,125.11,69.4,1.92
roald,75,NO,1541175600,70,62.58,6.12,44.6,12.75
luderitz,12,NA,1541174400,46,-26.65,15.16,69.8,10.29
high prairie,92,CA,1541178210,77,55.43,-116.48,32.45,3.83
jiuquan,36,CN,1541178349,74,39.73,98.49,20.35,3.6
plettenberg bay,0,ZA,1541178349,89,-34.05,23.37,63.91,25.41
la seyne-sur-mer,75,FR,1541176200,82,43.1,5.88,60.8,2.24
port hardy,75,CA,1541176560,87,50.7,-127.42,51.8,3.36
hualmay,0,PE,1541178351,62,-11.1,-77.61,73.18,4.72
hodmezovasarhely,0,HU,1541175300,63,46.42,20.33,66.2,5.82
la ligua,40,CL,1541178000,77,-32.45,-71.23,66.2,14.99
salalah,75,OM,1541173800,69,17.01,54.1,82.4,6.93
fort nelson,90,CA,1541174400,85,58.81,-122.69,21.2,6.93
chebenki,0,RU,1541176200,59,51.93,55.71,37.4,11.18
katobu,8,ID,1541178353,100,-4.94,122.53,79.75,4.83
samarai,80,PG,1541178354,100,-10.62,150.67,79.34,13.89
timaru,80,NZ,1541178186,83,-44.39,171.25,52.34,6.96
cairns,40,AU,1541176200,78,-16.92,145.77,75.2,11.41
turukhansk,80,RU,1541178355,79,65.8,87.96,15.53,15.35
santiago,12,BR,1541178355,64,-29.19,-54.87,85.6,8.3
provideniya,76,RU,1541178355,100,64.42,-173.23,36.77,21.72
oyama,75,JP,1541174400,87,36.31,139.8,48.2,2.24
new norfolk,20,AU,1541176380,72,-42.78,147.06,46.4,19.46
chara,44,RU,1541178357,52,56.9,118.26,1.4,3.6
torbay,75,CA,1541174400,75,47.66,-52.73,44.6,9.17
alihe,92,CN,1541178358,78,50.57,123.73,33.44,6.17
oussouye,0,SN,1541174400,50,12.49,-16.54,96.8,6.93
fortuna,90,US,1541176800,93,40.6,-124.16,57.2,9.17
kirakira,68,SB,1541178359,100,-10.46,161.92,81.37,21.72
thompson,75,CA,1541174400,78,55.74,-97.86,17.6,8.05
scarborough,40,TT,1541174400,74,11.18,-60.73,84.2,6.93
tuatapere,24,NZ,1541178360,75,-46.13,167.69,60.4,21.27
cabo san lucas,5,MX,1541173380,65,22.89,-109.91,77.0,6.4
meadow lake,90,CA,1541174400,86,54.13,-108.44,30.2,9.17
fulton,90,US,1541177580,87,38.85,-91.95,46.94,4.7
hun,88,LY,1541178422,38,29.13,15.95,70.03,3.83
san cristobal,80,EC,1541178422,100,-1.02,-79.44,65.62,3.15
rio grande,20,BR,1541174400,56,-32.03,-52.1,69.8,11.41
ndola,64,ZM,1541178424,57,-12.97,28.64,75.02,2.93
abha,20,SA,1541174400,59,18.22,42.5,66.2,5.82
blagoveshchenka,92,RU,1541178425,96,52.83,79.87,29.26,23.51
souillac,20,MU,1541174400,73,-20.52,57.52,77.0,5.82
beyneu,0,KZ,1541178426,68,45.32,55.19,18.37,2.93
dikson,44,RU,1541178497,100,73.51,80.55,22.64,6.85
formosa,90,AR,1541174400,83,-26.19,-58.17,80.6,12.75
moyale,88,KE,1541178428,73,3.52,39.06,73.4,6.17
charlestown,90,US,1541177760,100,41.38,-71.64,66.02,16.11
launceston,0,AU,1541176200,76,-41.43,147.14,44.6,24.16
namibe,0,AO,1541178429,100,-15.19,12.15,72.73,10.42
azul,100,AR,1541178429,85,-36.78,-59.86,61.34,5.73
pyinmana,8,MM,1541178430,87,19.74,96.21,72.05,2.37
los llanos de aridane,75,ES,1541176200,73,28.66,-17.92,71.6,16.11
peniche,75,PT,1541176200,82,39.36,-9.38,64.4,11.41
cap malheureux,20,MU,1541174400,73,-19.98,57.61,77.0,5.82
selenginsk,0,RU,1541176200,61,52.01,106.87,14.0,6.71
silver city,1,US,1541177700,31,32.77,-108.28,56.48,5.82
sorong,12,ID,1541178432,100,-0.86,131.25,79.34,2.15
collie,68,AU,1541178433,79,-33.36,116.15,57.88,9.31
vilhena,20,BR,1541174400,58,-12.74,-60.15,87.8,6.93
adrar,0,DZ,1541174400,24,27.87,-0.29,80.6,13.87
maralal,8,KE,1541178434,94,1.1,36.7,58.37,2.59
huarmey,0,PE,1541178434,51,-10.07,-78.15,75.38,4.16
bethel,1,US,1541173980,87,60.79,-161.76,17.06,14.99
aswan,20,EG,1541174400,37,24.09,32.9,86.0,9.17
longyearbyen,75,SJ,1541173800,73,78.22,15.64,24.8,21.92
helong,92,CN,1541178436,99,25.94,116.13,56.8,2.59
port macquarie,88,AU,1541174400,47,-31.43,152.91,75.2,8.05
moron,92,MN,1541178436,63,47.38,110.32,22.6,12.44
dalvik,20,IS,1541174400,74,65.97,-18.53,30.2,9.17
nioki,32,CD,1541178437,91,-2.72,17.69,76.06,3.15
mehamn,0,NO,1541177400,64,71.03,27.85,42.8,25.28
general roca,40,AR,1541178000,56,-39.03,-67.58,68.0,3.36
poretskoye,64,RU,1541178438,82,55.2,46.33,30.97,8.19
cherskiy,32,RU,1541178439,58,68.75,161.3,-1.44,0.69
yen bai,0,VN,1541178439,89,21.7,104.87,58.64,2.37
cabinda,0,AO,1541178439,100,-5.56,12.19,78.4,9.75
ancud,92,CL,1541178440,84,-41.87,-73.83,52.75,3.27
russell,0,NZ,1541178440,94,-35.26,174.12,45.55,5.95
tura,36,RU,1541178440,79,64.27,100.22,5.95,3.94
araouane,0,ML,1541178441,25,18.9,-3.53,82.04,6.51
ostrovnoy,20,RU,1541178441,92,68.05,39.51,27.59,8.97
ambulu,68,ID,1541178441,100,-8.35,113.61,78.67,5.5
carauari,20,BR,1541178442,70,-4.88,-66.9,88.57,3.38
vitoria do mearim,56,BR,1541178442,65,-3.46,-44.87,88.75,4.94
port-cartier,75,CA,1541174400,80,50.03,-66.88,39.2,3.36
khandyga,68,RU,1541178503,73,62.65,135.58,15.67,8.08
arani,75,BO,1541174400,31,-17.57,-65.77,77.0,4.7
saint george,90,BM,1541174100,57,32.38,-64.68,75.2,16.11
ambilobe,0,MG,1541178504,50,-13.19,49.05,79.66,10.98
tabou,88,CI,1541178504,100,4.42,-7.36,81.1,11.1
karuzi,48,BI,1541178505,95,-3.1,30.16,60.08,2.93
aklavik,75,CA,1541174400,92,68.22,-135.01,12.2,5.82
martinsburg,1,US,1541177700,77,39.46,-77.96,69.8,6.93
hithadhoo,88,MV,1541178506,100,-0.6,73.08,82.49,12.77
namatanai,88,PG,1541178506,100,-3.66,152.44,79.21,7.74
kangaatsiaq,88,GL,1541178507,100,68.31,-53.46,18.73,20.27
bang saphan,0,TH,1541178507,87,11.21,99.51,77.5,5.39
pisco,75,PE,1541174400,30,-13.71,-76.2,71.6,10.29
ponta delgada,75,PT,1541176200,77,37.73,-25.67,69.8,12.75
muros,20,ES,1541176200,87,42.77,-9.06,59.0,2.24
batagay-alyta,0,RU,1541178509,25,67.8,130.41,-18.99,3.38
constitucion,5,MX,1541173320,58,23.99,-104.67,55.4,5.82
lerwick,20,GB,1541177400,86,60.15,-1.15,46.4,8.05
xai-xai,88,MZ,1541178510,100,-25.04,33.64,68.5,26.98
fairbanks,1,US,1541174280,84,64.84,-147.72,5.0,7.07
awjilah,12,LY,1541178511,54,29.14,21.3,66.29,8.19
kabinda,80,CD,1541178511,97,-6.14,24.49,68.68,3.49
olinda,75,BR,1541174400,65,-22.82,-43.41,82.4,2.24
port elizabeth,0,ZA,1541174400,77,-33.92,25.57,62.6,14.99
furtwangen,0,DE,1541177400,76,48.05,8.22,51.8,4.7
willowmore,0,ZA,1541178513,32,-33.3,23.49,59.5,5.95
koumac,24,NC,1541178513,85,-20.56,164.28,70.97,12.21
xining,64,CN,1541178514,96,36.62,101.77,25.07,2.59
springdale,56,CA,1541178514,83,49.5,-56.06,44.02,14.45
hagere selam,76,ET,1541178515,94,6.48,38.52,59.63,2.82
sapa,20,PH,1541174400,88,14.32,120.76,82.4,6.93
rajbiraj,20,NP,1541178516,79,26.54,86.75,69.89,2.59
narasannapeta,68,IN,1541178516,94,18.42,84.04,74.08,2.59
marang,75,MY,1541174400,88,5.21,103.21,82.4,10.29
alofi,92,NU,1541178517,100,-19.06,-169.92,75.25,14.9
srednekolymsk,56,RU,1541178517,76,67.46,153.71,7.57,4.38
guerrero negro,0,MX,1541178518,38,27.97,-114.04,77.23,3.38
storm lake,75,US,1541176500,87,42.64,-95.21,44.96,10.29
skibbereen,75,IE,1541178000,93,51.55,-9.27,50.0,14.99
belyy yar,0,RU,1541176200,57,53.6,91.39,23.0,13.42
richards bay,92,ZA,1541178520,100,-28.77,32.06,60.8,5.61
tanout,0,NE,1541178520,9,14.97,8.88,79.3,7.63
visnes,40,NO,1541177400,76,59.36,5.22,48.2,10.29
the valley,75,AI,1541174400,83,18.22,-63.06,86.0,12.75
mvomero,0,TZ,1541178521,59,-6.3,37.45,77.5,8.41
akhalgori,90,GE,1541176200,93,42.13,44.48,48.2,3.6
juegang,64,CN,1541178522,98,32.31,121.18,56.57,8.86
pano polemidia,0,CY,1541178000,64,34.7,33,71.6,3.36
naze,100,JP,1541178524,100,28.37,129.48,72.73,12.66
sassandra,8,CI,1541178584,97,4.95,-6.09,81.5,12.1
esperance,80,AU,1541178585,93,-33.86,121.89,55.72,7.85
ugoofaaru,0,MV,1541178585,100,5.67,73,83.35,4.83
dyurtyuli,88,RU,1541178585,96,55.49,54.86,34.88,9.98
hamilton,90,BM,1541174100,57,32.3,-64.78,75.2,16.11
dom pedrito,0,BR,1541178586,61,-30.98,-54.67,80.24,8.75
qasigiannguit,75,GL,1541177400,56,68.82,-51.19,14.0,16.11
libreville,40,GA,1541176200,83,0.39,9.45,80.6,4.7
svencioneliai,32,LT,1541178587,93,55.17,26,53.83,11.21
shushenskoye,0,RU,1541176200,57,53.33,91.95,23.0,13.42
rensvik,75,NO,1541177400,81,63.1,7.82,44.6,20.8
lobito,0,AO,1541178588,71,-12.35,13.55,75.07,2.37
zemio,44,CF,1541178588,90,5.02,25.13,75.52,2.71
conde,0,BR,1541178300,63,-11.81,-37.61,84.83,12.1
banposh,0,IN,1541178589,94,22.25,84.8,67.55,1.7
frolishchi,92,RU,1541178589,85,56.42,42.65,38.17,9.53
cockburn town,0,TC,1541178590,99,21.46,-71.14,82.04,18.25
rawson,92,AR,1541178591,64,-43.3,-65.11,57.97,12.55
chinsali,100,ZM,1541178592,45,-10.55,32.07,77.18,5.06
along,64,IN,1541178561,82,28.17,94.8,59.54,2.04
yelizovo,0,RU,1541174400,85,53.19,158.38,24.8,4.47
bantogon,64,PH,1541178593,91,6.53,124.03,73.4,2.93
velenje,90,SI,1541176200,93,46.36,15.12,57.2,6.93
kahului,20,US,1541174400,84,20.89,-156.47,75.92,12.75
athabasca,88,CA,1541178594,87,54.72,-113.29,29.62,12.33
narsaq,20,GL,1541177400,62,60.91,-46.05,24.8,1.12
eyl,0,SO,1541178595,96,7.98,49.82,77.86,9.86
zhengjiatun,0,CN,1541178595,71,43.51,123.51,47.17,15.68
tarrafal,0,CV,1541174400,62,15.28,-23.77,84.2,17.22
lashio,0,MM,1541178596,88,22.93,97.75,57.29,1.92
guayaramerin,75,BO,1541174400,55,-10.82,-65.36,91.4,6.93
harper,44,LR,1541178597,100,4.38,-7.71,81.1,10.2
aripuana,20,BR,1541178597,70,-9.17,-60.63,90.1,1.92
ambanja,32,MG,1541178597,88,-13.68,48.45,72.73,2.37
sandy bay,40,HN,1541174400,74,16.33,-86.56,86.0,9.17
longkou,0,CN,1541178598,100,37.64,120.47,50.18,10.98
cayenne,36,GF,1541176200,55,4.94,-52.33,89.6,16.11
najran,0,SA,1541174400,35,17.54,44.22,73.4,11.41
kameno,75,BG,1541178000,82,42.57,27.29,59.0,10.29
saint-augustin,90,CA,1541176440,100,45.63,-73.98,39.2,13.87
forbes,0,AU,1541178600,75,-33.38,148.01,66.16,6.29
saint-michel-des-saints,92,CA,1541178601,100,46.68,-73.92,35.87,8.08
poum,12,NC,1541178601,100,-20.23,164.02,73.72,18.37
chunskiy,8,RU,1541178602,55,56.08,99.63,11.84,4.5
waipawa,80,NZ,1541178605,83,-39.94,176.59,48.2,9.31
pocatello,40,US,1541173980,54,42.87,-112.44,53.96,23.04
moradabad,68,IN,1541178606,86,28.83,78.77,66.7,2.37
touros,0,BR,1541178549,66,-5.2,-35.46,85.51,15.46
sao raimundo das mangabeiras,8,BR,1541178607,55,-7.02,-45.48,92.62,2.04
vila velha,0,BR,1541178000,62,-3.71,-38.6,86.0,14.99
zeya,48,RU,1541178668,55,53.74,127.27,21.29,7.85
patiya,20,BD,1541174400,83,22.3,91.98,78.8,3.71
washington,1,US,1541177760,80,38.9,-77.04,73.94,6.93
tual,64,ID,1541178670,100,-5.67,132.75,84.16,8.41
zhob,0,PK,1541178671,38,31.34,69.45,42.35,6.17
puerto ayora,75,EC,1541174400,65,-0.74,-90.35,77.0,9.17
kawalu,76,ID,1541178672,98,-7.38,108.21,66.65,1.59
toora-khem,0,RU,1541178672,64,52.47,96.11,-2.65,4.05
gobabis,0,NA,1541174400,8,-22.45,18.97,95.0,3.36
bandarbeyla,0,SO,1541178673,100,9.49,50.81,79.03,11.43
puerto madryn,92,AR,1541178673,89,-42.77,-65.04,54.23,13.67
tooele,1,US,1541177700,68,40.53,-112.3,51.98,14.99
lagoa,75,PT,1541176200,64,37.14,-8.45,69.8,12.75
mago,56,RU,1541178674,75,53.27,140.15,35.65,5.39
aqtobe,0,KZ,1541176200,59,50.28,57.21,35.6,6.71
sao jose da coroa grande,0,BR,1541178675,70,-8.9,-35.15,83.84,12.21
isla vista,1,US,1541174160,36,34.41,-119.86,71.06,5.5
kavaratti,20,IN,1541178676,96,10.57,72.64,86.27,4.27
urengoy,64,RU,1541178676,88,65.96,78.37,13.28,24.85
antofagasta,40,CL,1541174400,63,-23.65,-70.4,64.4,12.75
isangel,64,VU,1541178677,100,-19.55,169.27,74.12,25.52
ishigaki,92,JP,1541178678,100,24.34,124.16,75.29,24.74
takaka,92,NZ,1541178678,100,-40.86,172.81,51.13,9.42
pitimbu,75,BR,1541174400,58,-7.47,-34.81,86.0,11.41
pundaguitan,76,PH,1541178679,100,6.37,126.17,81.46,2.71
lisakovsk,36,KZ,1541178749,83,52.55,62.49,35.56,12.77
trincomalee,32,LK,1541178680,94,8.58,81.23,75.02,3.49
storforshei,75,NO,1541177400,65,66.4,14.52,44.6,4.7
usinsk,80,RU,1541178681,91,66,57.56,27.37,5.61
trat,0,TH,1541178681,100,12.25,102.51,80.6,4.38
nemuro,0,JP,1541178682,100,43.32,145.57,50.32,9.42
muroto,0,JP,1541178682,100,33.37,134.14,52.25,8.97
grand baie,20,MU,1541174400,73,-20.02,57.58,77.0,5.82
inongo,76,CD,1541178683,96,-1.93,18.29,74.17,3.38
olenino,92,RU,1541178683,96,56.21,33.48,42.98,11.77
pevek,76,RU,1541178683,100,69.7,170.27,8.65,4.61
puerto baquerizo moreno,75,EC,1541174400,73,-0.9,-89.6,75.2,13.87
buchanan,75,LR,1541176200,70,5.88,-10.05,86.0,8.05
twin falls,1,US,1541173980,54,42.57,-114.46,55.04,12.75
dungarpur,0,IN,1541178685,57,23.85,73.71,71.83,2.26
severomuysk,44,RU,1541178685,57,56.17,113.57,-0.63,3.94
geraldton,40,AU,1541176200,82,-28.77,114.6,62.6,13.87
saint-joseph,75,RE,1541176200,78,-21.37,55.62,75.2,5.82
hay river,90,CA,1541174400,85,60.82,-115.79,24.8,11.41
upernavik,24,GL,1541178686,100,72.79,-56.15,19.63,2.37
ballina,0,AU,1541178687,100,-28.87,153.57,70.93,16.35
orcopampa,80,PE,1541178687,83,-15.27,-72.34,41.09,1.59
longido,76,TZ,1541178688,87,-2.73,36.7,65.71,4.16
hobyo,0,SO,1541178688,87,5.35,48.53,77.68,9.75
troy,90,US,1541177580,83,42.73,-73.69,60.98,4.38
kenitra,40,MA,1541176200,63,34.26,-6.57,66.2,10.29
kudymkar,76,RU,1541178749,91,59.01,54.66,34.7,8.86
punakha,100,BT,1541178750,93,27.58,89.86,40.96,0.69
vardo,75,NO,1541177400,100,70.37,31.11,37.4,33.33
basoko,80,CD,1541178751,100,1.23,23.61,70.7,2.71
sibu,75,MY,1541174400,94,2.29,111.83,80.6,2.15
ouidah,40,BJ,1541174400,79,6.37,2.09,86.0,5.82
platteville,90,US,1541177580,80,42.73,-90.48,45.32,9.17
bucerias,90,MX,1541173500,100,20.76,-105.33,77.0,7.85
kontagora,0,NG,1541178752,73,10.4,5.47,81.28,2.93
